Stock,Article_cnt,Negative_sim,Positive_sim,Score,Ranking
SK,2804,0.007414004908481148,0.011283922591380864,2814.851249182851,1.0
현대차,2612,0.0076832778157758675,0.011433776511737123,2621.796302593851,2.0
한국전력,2582,0.008142126252402,0.012865784038834037,2594.1964844045674,3.0
효성중공업,2416,0.009901038798245014,0.014799784137027787,2427.8353687384993,4.0
기아,2344,0.008712243582725735,0.013778636869479274,2355.8756258641506,5.0
두산중공업,2339,0.010485141569915342,0.014938333845733223,2349.4160167331383,6.0
LG전자,2293,0.008193970483950007,0.014533098217662318,2307.5356198934023,7.0
두산,2254,0.006553199098711096,0.013570754255235025,2269.817569322805,8.0
롯데케미칼,2245,0.0073274259061169595,0.012191620171036489,2255.9201161247443,9.0
두산퓨얼셀,2232,0.007732571919631373,0.01639642424281503,2251.337718385346,10.0
대상,2230,0.009482849337353315,0.012014580283224933,2235.645760009294,11.0
현대제철,2224,0.010703055550287081,0.013624197996921014,2230.496620801314,12.0
삼성중공업,2217,0.010121804129597409,0.013868942745557122,2225.307406311583,13.0
삼성전자,2203,0.011083024289000397,0.016309760364434562,2214.514499574181,14.0
SK텔레콤,2157,0.008161116189836004,0.014566405335651934,2170.816208687525,15.0
한국조선해양,2151,0.010870968969144069,0.013534876391113079,2156.730064864655,16.0
효성화학,2132,0.011922901024919053,0.015812046426787293,2140.2916579967828,17.0
한전기술,2110,0.010051926252911288,0.012342651756635112,2114.8334308128574,18.0
코오롱글로벌,2070,0.009901246298882171,0.013139072872553519,2076.7023010075,19.0
CJ,2065,0.009930568232659066,0.01444286324009501,2074.317889190355,20.0
SK이노베이션,2063,0.00959028784850066,0.013475157473943114,2071.014486037288,21.0
한화시스템,2057,0.008834488833766677,0.013161658613508431,2065.9009882369287,22.0
카카오,2034,0.0066280935152551,0.011970739415898646,2044.8669417619092,23.0
SK하이닉스,2002,0.008997282402839856,0.014360829524547687,2012.737821337659,24.0
포스코케미칼,1983,0.010599966288544488,0.015430234871973984,1992.5784226009405,25.0
삼성SDI,1959,0.011715984638423646,0.015021590915810571,1965.4756826974008,26.0
GS,1915,0.010291963880999956,0.015440535346102586,1924.8595143556718,27.0
한화투자증권,1883,0.007828116644922476,0.01218207242895404,1891.1984987413314,28.0
KT,1876,0.008279821429706938,0.013482746770886825,1885.7606879400535,29.0
동서,1858,0.008115182322110377,0.012777686784256552,1866.6629332906678,30.0
LG화학,1840,0.009336264606405256,0.015710340701454197,1851.7283000148902,31.0
한화솔루션,1829,0.006967889808231144,0.013197544080727886,1840.3940376643964,32.0
현대모비스,1782,0.006518777244008152,0.010691087959633128,1789.4350576952438,33.0
DL,1782,0.012893893325773197,0.016074567716410634,1787.667961764116,34.0
