Stock,Article_cnt,Negative_sim,Positive_sim,Score,Ranking
삼성증권,3096,0.008455231395535891,0.01137756860691738,3105.0475560064374,1.0
기아,2582,0.0003872966692486445,0.0003872966692486445,2582.0,2.0
SK,2543,0.005406411623089784,0.009689923510236696,2553.8929707290145,3.0
현대차,2507,0.007640620480397326,0.009851719546247011,2512.5432253580852,4.0
LG화학,2450,0.007913195145374904,0.014461113379751539,2466.042399674223,5.0
한국조선해양,2449,0.008554578123533425,0.011926097450515418,2457.256850831779,6.0
현대중공업지주,2355,0.008007287925263031,0.011753953143197176,2363.8233965882346,7.0
미래에셋증권,2315,0.008292021747439714,0.013090646303974395,2326.1088158483776,8.0
LG,2315,0.007658682236376315,0.012436487232206889,2326.0606185653473,9.0
SK하이닉스,2310,0.009983684552180554,0.013837316718170622,2318.901890303437,10.0
현대모비스,2244,0.006701041017042978,0.010731474892912082,2253.0442936174504,11.0
삼성SDI,2237,0.007895960466537889,0.011658889140779847,2245.417671444279,12.0
GS,2232,0.005123393287097346,0.009207899926733452,2241.1166188196676,13.0
LG전자,2216,0.007241549812851648,0.014995005283357583,2233.181657322641,14.0
SKC,2181,0.00843354270075811,0.013102004545655282,2191.1819152837206,15.0
삼성중공업,2182,0.010086090685753626,0.012667938551829197,2187.633592043777,16.0
현대일렉트릭,2170,0.0086276467717531,0.011995708188054297,2177.3086932733736,17.0
한화투자증권,2168,0.009725187615547732,0.011956334490357594,2172.837126424588,18.0
HMM,2147,0.009830380878412778,0.01242285560993106,2152.5660432485697,19.0
한국전력,2135,0.0077986552031611275,0.012211910052962323,2144.4222991043257,20.0
롯데케미칼,2112,0.007481896725025652,0.01053025011020171,2118.4381223494916,21.0
삼성전자,2082,0.007406367260919915,0.01178848176720632,2091.1235624020883,22.0
한국가스공사,2082,0.008402266071267345,0.011826484427035992,2089.12922261671,23.0
대우조선해양,2078,0.008483713355590523,0.013648895941453127,2088.7332494134225,24.0
대신증권,2055,0.009228265170084573,0.013004586885691742,2062.7603411255727,25.0
포스코케미칼,2032,0.008553254429565777,0.012788326698929877,2040.6056668513477,26.0
신세계,1999,0.007472384965452596,0.012457138768398083,2008.964522852088,27.0
두산,2002,0.008840828270877819,0.011787441676216754,2007.8991200374885,28.0
LS,1986,0.007111462297970574,0.011692264963140481,1995.0974740930274,29.0
현대건설,1979,0.007708892969029055,0.012067579987406605,1987.6258416093692,30.0
NH투자증권,1980,0.009846727046485407,0.013343877159143265,1986.9243572230628,31.0
코오롱글로벌,1954,0.010679346102635863,0.013815561205406453,1960.1281643108136,32.0
한화시스템,1936,0.009268145962376618,0.01450209592143575,1946.1329271207387,33.0
두산퓨얼셀,1931,0.009696775366191417,0.013452303347912793,1938.251924532704,34.0
카카오,1908,0.00851804119040998,0.01192683838836982,1914.5039850537075,35.0
효성중공업,1897,0.010060229643781888,0.014468561295387053,1905.3626051430952,36.0
두산중공업,1879,0.01163321106368606,0.013366196181531289,1882.2562790364311,37.0
포스코인터내셔널,1856,0.007042943349391529,0.011151770050775589,1863.6259823577686,38.0
GS건설,1821,0.007395415152030068,0.013827732980608102,1832.7132507658407,39.0
한화,1805,0.008390628199655518,0.015911422151770195,1818.575033083567,40.0
CJ제일제당,1778,0.013147191235927932,0.016489443511005883,1783.9425245450884,41.0
SK이노베이션,1776,0.0082060338452746,0.01168217628455686,1782.1736289721653,42.0
SK텔레콤,1757,0.010008360867293774,0.015859823620033665,1767.281020056564,43.0
현대글로비스,1758,0.010970579462107952,0.014167055818838502,1763.6194054351322,44.0
삼성물산,1743,0.0070835752222309,0.013177631164761304,1753.6219395078306,45.0
대상,1743,0.004959645830609442,0.009764857057101003,1751.3754831677747,46.0
DL,1711,0.010570262725254203,0.018733681683320687,1724.9676098372515,47.0
DL이앤씨,1690,0.008638479890793912,0.018229998005895733,1706.209665614522,48.0
한국항공우주,1686,0.009938156401799588,0.014650555742697849,1693.9451052887543,49.0
SK아이이테크놀로지,1655,0.007461859392347944,0.01394868052670822,1665.7356889773662,50.0
LG디스플레이,1650,0.010596165865547784,0.016885332040160374,1660.3771241881107,51.0
CJ대한통운,1651,0.007006286152042364,0.012174751029042847,1659.5331355119279,52.0
CJ,1630,0.00819419526204992,0.012567312531963642,1637.1281811499593,53.0
한화솔루션,1625,0.008215914271558293,0.014134514854800495,1634.6177259477683,54.0
대한항공,1619,0.00634553703213139,0.011444228011334726,1627.25478069533,55.0
동서,1608,0.009433995491023556,0.013895847159832346,1615.1746574834447,56.0
현대미포조선,1601,0.010262754817035548,0.012970082797192658,1605.3344320962315,57.0
KT,1588,0.008417178088268615,0.01301873708854422,1595.3072756924378,58.0
LG유플러스,1573,0.013148420233657114,0.021008758201314807,1585.3643116231253,59.0
DL건설,1575,0.010774189850606684,0.017325911971496386,1585.3189623404014,60.0
효성화학,1558,0.011292420536009406,0.015299307649967507,1564.2427301235466,61.0
한전기술,1541,0.00883670751993694,0.014656150610364434,1549.9677618023488,62.0
현대제철,1541,0.007234907165806339,0.012561945699100522,1549.2089663798063,63.0
현대건설기계,1530,0.007232907163698516,0.011512743032795958,1536.548148879719,64.0
현대백화점,1523,0.008445076719425716,0.012901052076336197,1529.7864504685747,65.0
롯데칠성,1517,0.007385049919823073,0.01278855750197042,1525.1971210021175,66.0
SK가스,1473,0.009806743274347796,0.014097107990835992,1479.3197072273872,67.0
아모레퍼시픽,1465,0.010908628753366489,0.015714434192364107,1472.0405049681315,68.0
동원F&B,1459,0.007661425874309547,0.015372144188228591,1470.249938020008,69.0
