종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"001940","KISCO홀딩스","22400","-500","-2.18","22900","22900","22100","29646","663661100","413870912000","18476380"
"025000","KPX케미칼","60900","-200","-0.33","61000","61200","60300","4848","293878000","294756000000","4840000"
"092230","KPX홀딩스","66500","-100","-0.15","66900","67000","65800","965","63996500","280938959000","4224646"
"000040","KR모터스","1100","10","0.92","1080","1125","1075","472803","517952245","105751104800","96137368"
"044450","KSS해운","11400","300","2.70","11100","11650","11100","136875","1569355500","264319032000","23185880"
"030200","KT","32750","150","0.46","32800","33150","32650","618730","20316741550","8551411712000","261111808"
"033780","KT&G","81600","300","0.37","81500","81600","81100","279601","22760457100","11203067755200","137292497"
"030210","KTB투자증권","7170","-40","-0.55","7220","7260","7080","211537","1517368050","432452039640","60314092"
"058850","KTcs","2865","45","1.60","2825","2870","2805","118350","336402635","122292525000","42685000"
"058860","KTis","2645","10","0.38","2615","2645","2600","70018","183488790","92051290000","34802000"
"093050","LF","18750","250","1.35","18500","18800","18300","96706","1797870000","548250000000","29240000"
"003550","LG","94400","900","0.96","93600","95300","93500","139153","13136806800","14849213739200","157300993"
"034220","LG디스플레이","20050","-100","-0.50","20250","20350","20000","1664142","33474456600","7174204785000","357815700"
"051900","LG생활건강","1387000","13000","0.95","1375000","1393000","1362000","31169","43079180000","21662439239000","15618197"
"051905","LG생활건강우","667000","-3000","-0.45","670000","675000","666000","3023","2023265000","1400497899000","2099697"
"003555","LG우","70200","200","0.29","70200","71200","69000","3984","280040400","212117724000","3021620"
"032640","LG유플러스","14700","0","0.00","14750","14850","14600","1080256","15872021200","6418187006700","436611361"
"011070","LG이노텍","230000","8500","3.84","223000","231000","222000","369558","84130192500","5443434610000","23667107"
"066570","LG전자","146500","5000","3.53","143000","151000","143000","1851877","273634545500","23974404751000","163647814"
"066575","LG전자우","71000","800","1.14","70400","73400","70300","98337","7077236500","1220205432000","17185992"
"037560","LG헬로비전","7840","-260","-3.21","8260","8270","7810","1775795","14158664900","607183421600","77446865"
"051910","LG화학","740000","-8000","-1.07","748000","753000","740000","267584","198868127548","52238333820000","70592343"
"051915","LG화학우","357000","1500","0.42","356500","357000","352000","20140","7110229000","2744901600000","7688800"
"079550","LIG넥스원","51300","500","0.98","50800","52300","50800","107731","5535970700","1128600000000","22000000"
"006260","LS","67000","300","0.45","67200","67800","66500","73723","4945100600","2157400000000","32200000"
"010120","LS ELECTRIC","70200","200","0.29","70100","71000","68900","110677","7776257300","2106000000000","30000000"
"000680","LS네트웍스","4380","580","15.26","3800","4735","3800","9113448","40759747395","345157210080","78803016"
"229640","LS전선아시아","8770","190","2.21","8840","8880","8580","509979","4455793870","268580188830","30624879"
"001120","LX인터내셔널","27850","250","0.91","27850","28100","27150","102606","2848924950","1079466000000","38760000"
"108670","LX하우시스","85000","-5300","-5.87","89400","91000","84400","204733","17729208000","762251950000","8967670"
"108675","LX하우시스우","39700","-1250","-3.05","40000","40900","39300","8742","347564100","40983501000","1032330"
"383800","LX홀딩스","10050","50","0.50","10000","10100","9990","142437","1428324170","766620934500","76280690"
"38380K","LX홀딩스1우","16100","-100","-0.62","16200","16200","15850","5293","84725800","23591088500","1465285"
"023150","MH에탄올","16300","50","0.31","17400","18850","16300","2408584","41930111650","120269973800","7378526"
"035420","NAVER","410000","11000","2.76","398000","416500","398000","1326870","543277107000","67347991950000","164263395"
"181710","NHN","68200","-200","-0.29","68400","69200","67900","36681","2511213800","1334334705000","19565025"
"005940","NH투자증권","13500","400","3.05","13100","13550","13050","800030","10674042550","3799019974500","281408887"
"005945","NH투자증권우","12350","350","2.92","12050","12400","12000","149868","1833537850","233056454800","18870968"
"338100","NH프라임리츠","4810","0","0.00","4815","4815","4795","40246","193356865","89754600000","18660000"
"034310","NICE","17850","-250","-1.38","18200","18200","17750","63815","1140160350","676199055000","37882300"
"008260","NI스틸","4580","-90","-1.93","4670","4755","4250","144086","657541255","130988535860","28600117"
"004250","NPC","7080","90","1.29","7230","7900","6970","19899904","150451655840","259977600000","36720000"
"004255","NPC우","3405","25","0.74","3440","3500","3385","58115","201904795","17978400000","5280000"
"010060","OCI","142000","1000","0.71","142500","146000","140000","507150","72276141000","3386610682000","23849371"
"178920","PI첨단소재","59800","500","0.84","59500","59900","58300","104106","6168379300","1756106055600","29366322"
"005490","POSCO","360000","500","0.14","360000","365000","359000","309238","111713541500","31387260600000","87186835"
"010950","S-Oil","96400","-300","-0.31","96900","98500","96100","198837","19269493400","10852981148800","112582792"
"010955","S-Oil우","56800","400","0.71","56100","56900","55500","8858","499697100","228445453600","4021927"
"034120","SBS","53900","300","0.56","54500","54900","52600","139025","7467538200","983814169800","18252582"
"101060","SBS미디어홀딩스","2135","15","0.71","2140","2140","2105","163543","346897290","298678365650","139896190"
"005090","SGC에너지","46800","1350","2.97","45250","46950","45200","44471","2051313450","686883787200","14677004"
"001380","SG글로벌","2700","15","0.56","2705","2725","2635","149986","402465215","121403186100","44964143"
"004060","SG세계물산","762","2","0.26","757","774","754","369024","280998007","154247819520","202424960"
"001770","SHD","29850","0","0.00","29650","29900","28900","11260","332078500","36264108300","1214878"
"002360","SH에너지화학","1050","-15","-1.41","1060","1075","1035","549039","577947785","116690416500","111133730"
"009160","SIMPAC","8300","-550","-6.21","8800","8880","8300","950272","8107184590","543064982800","65429516"
"123700","SJM","4675","-40","-0.85","4695","4695","4615","22917","106520780","72952898150","15604898"
"025530","SJM홀딩스","3990","20","0.50","3955","3990","3930","15343","60749825","59586691920","14934008"
"034730","SK","263000","2500","0.96","263000","264500","260500","139228","36575838000","18504758111000","70360297"
