,시가,종목코드,종목명,중분류,소분류,PBR,EPS,ROE,EV/EBITDA,업종PER,적정가격,시가/적정가격,RANK_평가,RANK_EV/EBITDA,RANK_ROE,VALUE_SCORE
31,36800.0,950210,프레스티지바이오파마,제약과생물공학,제약,2.52,-242.0,-2.07,-91.64,110.75,-26801.5,-1.3730574781262244,17.0,2.0,238.0,0.719020172910663
32,33550.0,000060,메리츠화재,보험,손해보험,1.32,3762.0,16.88,6.19,8.05,30284.100000000002,1.107842068940467,145.0,81.0,32.0,0.7175792507204612
33,59500.0,000990,DB하이텍,반도체와반도체장비,반도체와반도체장비,2.82,3730.0,23.07,6.48,13.18,49161.4,1.2102991371279093,155.0,88.0,16.0,0.7161383285302594
34,117500.0,039490,키움증권,증권,증권,0.79,27556.0,27.63,7.89,4.01,110499.56,1.0633526504539927,138.0,116.0,9.0,0.7103746397694526
35,11200.0,042670,두산인프라코어,자본재,기계,2.64,707.0,6.47,5.92,61.96,43805.72,0.2556743731183964,51.0,71.0,141.0,0.7103746397694526
36,202000.0,049770,동원F&B,"식품,음료,담배",식품,1.01,20194.0,10.91,6.64,13.95,281706.3,0.7170588659181566,93.0,92.0,79.0,0.7089337175792508
37,33950.0,007070,GS리테일,소매,백화점과일반상점,1.08,2187.0,7.49,6.09,41.65,91088.55,0.372714243447722,65.0,77.0,128.0,0.7002881844380404
38,46200.0,009970,영원무역홀딩스,내구소비재와의류,"섬유,의류,신발,호화품",0.38,7690.0,7.64,4.12,6.68,51369.2,0.8993716078895525,115.0,33.0,124.0,0.697406340057637
39,20250.0,034220,LG디스플레이,디스플레이,디스플레이패널,0.57,-250.0,-0.79,4.33,6.18,-1545.0,-13.106796116504855,2.0,38.0,233.5,0.6952449567723344
40,81500.0,033780,KT&G,"식품,음료,담배",담배,1.12,8535.0,13.22,6.81,10.23,87313.05,0.933422896119194,120.0,97.0,56.5,0.6952449567723344
41,28350.0,294870,HDC현대산업개발,자본재,건설,0.59,3579.0,8.85,2.76,6.96,24909.84,1.138104459924271,150.0,22.0,103.0,0.6930835734870319
42,224000.0,006650,대한유화,소재,화학,0.57,19576.0,6.93,4.6,15.32,299904.32,0.746904879529578,95.0,44.0,137.5,0.6909221902017293
43,30750.0,071840,롯데하이마트,소매,전문소매,0.33,1217.0,1.49,4.26,-26.38,-32104.46,-0.9578108462188742,22.0,36.0,221.0,0.6873198847262249
44,78900.0,271940,일진하이솔루스,자동차와부품,자동차부품,38.22,536.0,34.27,0.0,15.19,8141.84,9.69068416967172,266.0,12.0,4.0,0.6829971181556197
45,54000.0,008490,서흥,제약과생물공학,생명과학도구및서비스,1.45,4581.0,16.73,8.47,12.6,57720.6,0.9355412105903266,121.0,130.5,33.0,0.6793948126801154
46,154000.0,017390,서울가스,유틸리티,가스유틸리티,0.62,26203.0,13.14,9.72,10.97,287446.91000000003,0.5357511061781808,73.0,154.0,58.0,0.6786743515850145
47,126500.0,185750,종근당,제약과생물공학,제약,2.33,8020.0,17.88,17.52,90.87,728777.4,0.1735783793515002,46.0,212.0,28.0,0.6772334293948127
48,449500.0,002380,KCC,자본재,건축자재,0.48,67079.0,12.79,9.3,11.14,747260.06,0.6015308780185575,77.0,149.0,62.0,0.6743515850144093
49,60100.0,005830,DB손해보험,보험,손해보험,0.56,7893.0,9.04,5.58,8.05,63538.65000000001,0.9458809716605561,125.0,65.0,98.0,0.6743515850144093
50,25200.0,001450,현대해상,보험,손해보험,0.45,3712.0,7.13,4.75,8.05,29881.600000000002,0.8433283358320839,106.0,47.5,135.0,0.6736311239193085
51,41250.0,241560,두산밥캣,자본재,기계,0.87,2468.0,6.15,6.21,61.96,152917.28,0.26975368643753017,57.0,82.0,150.0,0.6729106628242075
52,31150.0,003580,넥스트사이언스,"식품,음료,담배",식품,7.8,-896.0,-41.41,-20.49,13.95,-12499.199999999999,-2.4921594982078856,11.0,6.0,272.0,0.6729106628242075
53,78600.0,025540,한국단자,자동차와부품,자동차부품,0.95,5550.0,7.84,4.85,15.19,84304.5,0.9323345728875683,119.0,51.0,121.0,0.6700288184438041
54,38200.0,007700,F&F홀딩스,내구소비재와의류,"섬유,의류,신발,호화품",0.97,5571.0,16.59,8.22,6.68,37214.28,1.0264876816103925,134.0,123.0,35.0,0.6685878962536024
55,718000.0,298020,효성티앤씨,내구소비재와의류,"섬유,의류,신발,호화품",2.63,31610.0,25.1,4.73,6.68,211154.8,3.40034893831445,241.0,45.0,11.0,0.6613832853025937
56,48200.0,017800,현대엘리베이,자본재,기계,1.98,2266.0,9.78,9.15,61.96,140401.36000000002,0.3433015178770348,62.0,147.0,90.0,0.6585014409221903
57,9310.0,003690,코리안리,보험,손해보험,0.4,1180.0,5.78,1.55,8.05,9499.0,0.9801031687546058,129.0,17.0,154.0,0.6570605187319886
58,210500.0,361610,SK아이이테크놀로지,전자와전기제품,전기제품,5.44,1523.0,11.0,0.76,66.2,100822.6,2.0878255470499667,214.0,15.0,73.0,0.6541786743515852
59,6940.0,047040,대우건설,자본재,건설,0.86,683.0,11.06,4.75,6.96,4753.68,1.459921576547012,183.0,47.5,71.5,0.6541786743515852
60,114000.0,326030,SK바이오팜,제약과생물공학,제약,16.82,-3444.0,-135.18,-207.9,90.87,-312956.28,-0.36426813355526844,29.0,1.0,278.0,0.6455331412103748
61,33250.0,005250,녹십자홀딩스,제약과생물공학,제약,1.44,3451.0,19.74,27.39,90.87,313592.37,0.10602936544661466,42.0,242.0,24.0,0.6455331412103748
62,92900.0,120110,코오롱인더,소재,화학,1.13,6839.0,9.7,7.27,15.32,104773.48,0.886674757772673,112.0,107.0,92.0,0.6412103746397696
63,23050.0,047050,포스코인터내셔널,자본재,무역회사와판매업체,0.81,1934.0,7.69,4.75,10.76,20809.84,1.1076490737074385,144.0,47.5,122.0,0.6376080691642653
64,182500.0,009150,삼성전기,기술하드웨어와장비,전자장비와기기,1.92,7783.0,10.92,8.43,26.47,206016.00999999998,0.8858534829404764,111.0,127.5,77.5,0.6340057636887608
65,182500.0,086280,현대글로비스,운송,항공화물운송과물류,1.17,16165.0,12.45,7.42,10.36,167469.4,1.0897513217340005,142.0,110.0,65.0,0.6325648414985592
66,44600.0,161390,한국타이어앤테크놀로지,자동차와부품,자동차부품,0.65,3006.0,5.12,3.92,15.19,45661.14,0.9767605451813074,128.0,31.0,161.0,0.628242074927954
67,127000.0,000070,삼양홀딩스,"식품,음료,담배",식품,0.47,11537.0,6.96,6.27,13.95,160941.15,0.7891083169220551,102.0,84.0,136.0,0.6253602305475505
68,276500.0,352820,하이브,미디어,방송과엔터테인먼트,6.84,2807.0,12.52,31.6,-26.38,-74048.66,-3.734031108733095,9.0,249.0,64.0,0.6253602305475505
69,302500.0,302440,SK바이오사이언스,제약과생물공학,제약,13.09,537.0,13.25,0.0,90.87,48797.19,6.1991274497568405,256.0,12.0,55.0,0.6239193083573489
70,64100.0,001820,삼화콘덴서,전자와전기제품,전기제품,3.06,2243.0,14.28,16.1,66.2,148486.6,0.4316887853853479,69.0,205.0,50.0,0.622478386167147
71,21000.0,089590,제주항공,운송,항공사,10.88,-9727.0,-113.11,-10.01,-36.67,356689.09,0.058874803263536876,38.0,9.0,277.0,0.622478386167147
72,711000.0,000670,영풍,기술하드웨어와장비,핸드셋,0.34,72005.0,4.03,7.3,216.41,15582602.049999999,0.04562780963786469,36.0,108.0,183.0,0.6181556195965419
73,23150.0,030000,제일기획,미디어,광고,2.36,1368.0,16.11,10.12,16.81,22996.079999999998,1.0066933146866772,130.0,161.5,37.0,0.6159942363112393
74,36250.0,003090,대웅,제약과생물공학,제약,1.94,1692.0,15.1,23.01,90.87,153752.04,0.235769229468435,50.0,237.0,44.0,0.612391930835735
75,14750.0,032640,LG유플러스,통신서비스,무선통신서비스,0.83,1069.0,6.46,3.51,10.79,11534.509999999998,1.2787712698675542,160.0,29.0,142.0,0.612391930835735
76,62400.0,180640,한진칼,운송,항공사,2.57,-4477.0,-19.55,-63.45,-36.67,164171.59,0.38009012399770264,66.0,3.0,264.0,0.6095100864553314
77,24550.0,139990,아주스틸,소재,철강,2.75,625.0,12.99,2.91,9.08,5675.0,4.325991189427313,251.0,23.0,60.0,0.6080691642651297
78,8260.0,037560,LG헬로비전,미디어,방송과엔터테인먼트,0.84,-4039.0,-39.53,3.11,-26.38,106548.81999999999,0.07752314854355027,39.0,24.0,271.0,0.6080691642651297
79,103500.0,000660,SK하이닉스,반도체와반도체장비,반도체와반도체장비,1.29,6532.0,9.53,6.37,13.18,86091.76,1.2022056466263438,153.0,87.0,94.0,0.6080691642651297
80,1375000.0,051900,LG생활건강,내구소비재와의류,화장품,3.88,45018.0,17.92,18.14,42.61,1918216.98,0.7168115048173539,92.0,218.0,27.0,0.6037463976945245
81,54000.0,064960,SNT모티브,자동차와부품,자동차부품,0.86,3723.0,7.27,6.13,15.19,56552.369999999995,0.9548671434990258,127.0,79.0,131.0,0.6037463976945245
82,290000.0,004370,농심,"식품,음료,담배",식품,0.79,24416.0,7.5,7.02,13.95,340603.2,0.8514306383498452,108.0,103.0,126.5,0.6030259365994237
83,205500.0,002840,미원상사,소재,화학,3.45,10365.0,21.07,9.87,15.32,158791.80000000002,1.2941474307867282,163.0,157.0,18.0,0.6023054755043229
84,23200.0,015760,한국전력,유틸리티,전기유틸리티,0.21,3102.0,2.91,5.66,14.94,46343.88,0.5006054736892984,71.0,66.0,201.0,0.6023054755043229
85,89400.0,108670,LX하우시스,자본재,건축자재,0.81,-7712.0,-8.8,5.41,11.14,-85911.68000000001,-1.0406035593763268,20.0,61.0,257.0,0.6023054755043229
86,22600.0,028050,삼성엔지니어링,자본재,건설,2.67,1288.0,17.32,6.28,6.96,8964.48,2.5210608981223674,225.0,85.0,30.0,0.5994236311239194
87,15850.0,001800,오리온홀딩스,"식품,음료,담배",식품,0.48,1237.0,3.98,4.31,13.95,17256.149999999998,0.9185131098188183,118.0,37.0,185.0,0.5994236311239194
88,608000.0,036570,엔씨소프트,소프트웨어와서비스,게임엔터테인먼트,4.12,26756.0,20.83,22.95,36.97,989169.32,0.6146571549550284,83.0,236.0,21.0,0.5994236311239194
89,80700.0,039130,하나투어,"호텔,레스토랑,레저등","호텔,레스토랑,레저",19.2,-12681.0,-108.93,-13.82,-22.7,287858.7,0.28034587802974165,58.0,7.0,276.0,0.5979827089337177
90,37650.0,210980,SK디앤디,부동산,부동산,1.32,2974.0,14.88,9.73,11.88,35331.12,1.0656327905823533,139.0,155.0,47.5,0.5972622478386168
91,6150.0,010140,삼성중공업,자본재,조선,1.42,-2353.0,-33.06,-12.73,-6.54,15388.62,0.39964597215344844,67.0,8.0,267.0,0.596541786743516
92,6290.0,082640,동양생명,보험,생명보험,0.35,797.0,4.52,2.25,7.01,5586.97,1.1258338598560578,148.0,19.0,176.0,0.5951008645533141
93,49950.0,012450,한화에어로스페이스,자본재,우주항공과국방,0.82,2388.0,4.78,5.96,27.22,65001.36,0.7684454602180631,101.0,72.0,170.0,0.5951008645533141
94,39050.0,195870,해성디에스,반도체와반도체장비,반도체와반도체장비,2.98,1764.0,13.62,6.68,13.18,23249.52,1.6796045681803322,198.0,93.0,52.0,0.5951008645533141
95,11500.0,192650,드림텍,기술하드웨어와장비,핸드셋,2.17,339.0,8.79,14.73,216.41,73362.99,0.15675478875656512,45.0,197.0,104.0,0.590778097982709
96,911.0,010050,우리종금,다각화된금융,기타금융,1.54,89.0,14.05,7.07,6.64,590.9599999999999,1.541559496412617,191.0,105.0,51.0,0.5893371757925073
97,7950.0,002350,넥센타이어,자동차와부품,자동차부품,0.49,-161.0,-1.09,6.94,15.19,-2445.59,-3.2507493079379617,10.0,100.0,237.0,0.5893371757925073
98,47550.0,267270,현대건설기계,자본재,기계,0.57,-490.0,-0.79,7.01,61.96,-30360.4,-1.566184898749687,15.0,102.0,233.5,0.5842939481268012
99,50800.0,079550,LIG넥스원,자본재,우주항공과국방,1.45,2631.0,8.86,9.98,27.22,71615.81999999999,0.7093404781234092,90.0,159.0,102.0,0.5835734870317004
100,15800.0,114090,GKL,"호텔,레스토랑,레저등","호텔,레스토랑,레저",2.35,-1040.0,-12.01,-7.77,-22.7,23608.0,0.669264656048797,87.0,10.0,259.0,0.5763688760806918
101,18400.0,272210,한화시스템,자본재,우주항공과국방,1.41,849.0,9.35,9.9,27.22,23109.78,0.7961997041945013,103.0,158.0,96.0,0.57492795389049
102,83200.0,012750,에스원,상업서비스와공급품,상업서비스와공급품,2.02,3739.0,10.48,8.72,20.57,76911.23,1.0817666028745088,140.0,136.0,81.0,0.57492795389049
103,44600.0,089860,롯데렌탈,운송,도로와철도운송,1.57,1562.0,6.73,3.26,17.99,28100.379999999997,1.5871671486293069,194.0,26.0,139.0,0.5720461095100866
104,16650.0,000240,한국앤컴퍼니,자동차와부품,자동차부품,0.44,1822.0,5.08,8.0,15.19,27676.18,0.601600365368342,78.0,118.0,164.5,0.569884726224784
105,124500.0,271560,오리온,"식품,음료,담배",식품,2.37,6768.0,15.5,9.65,13.95,94413.59999999999,1.3186659549048019,167.0,152.0,42.0,0.569164265129683
106,11500.0,012630,HDC,자본재,건설,0.25,1734.0,4.72,5.45,6.96,12068.64,0.9528828434686925,126.0,62.0,173.0,0.569164265129683
107,171500.0,139480,이마트,소매,백화점과일반상점,0.5,12979.0,4.05,8.1,41.65,540575.35,0.3172545695988543,59.0,120.0,182.0,0.569164265129683
108,28850.0,001430,세아베스틸,소재,철강,0.45,-6857.0,-14.18,6.01,9.08,-62261.56,-0.4633677665641529,26.0,73.0,263.0,0.5677233429394813
109,19400.0,032350,롯데관광개발,"호텔,레스토랑,레저등","호텔,레스토랑,레저",9.63,-1183.0,-30.43,-33.36,-22.7,26854.1,0.7224222744385401,94.0,5.0,265.5,0.564121037463977
110,40900.0,111770,영원무역,내구소비재와의류,"섬유,의류,신발,호화품",1.0,3332.0,8.03,4.55,6.68,22257.76,1.837561371854131,208.0,40.5,116.0,0.564121037463977
111,96900.0,010950,S-Oil,에너지,석유와가스,1.85,-6827.0,-13.07,6.08,36.49,-249117.23,-0.38897349653414176,28.0,76.0,261.0,0.5634005763688762
112,507000.0,010130,고려아연,소재,비철금속,1.33,30363.0,8.37,6.54,12.35,374983.05,1.352061113162315,169.0,90.0,109.0,0.559077809798271
113,69600.0,000210,DL,자본재,건설,0.38,13082.0,11.84,15.91,6.96,91050.72,0.7644091117566121,99.0,203.0,68.0,0.5561959654178675
114,32800.0,030200,KT,통신서비스,다각화된통신서비스,0.5,2520.0,4.76,2.33,9.0,22680.0,1.4462081128747795,180.0,20.0,171.0,0.5547550432276658
115,44200.0,006360,GS건설,자본재,건설,0.79,3862.0,7.68,4.96,6.96,26879.52,1.6443746019274152,196.0,53.0,123.0,0.553314121037464
